Customer_ID,Full_Name,Contact_Email,Phone_Number,Signup_Date,Country,Subscription_Tier,Total_Spend_USD,Account_Status
CUST-1217,Katherine Smith,charlesnathan@example.com,894.972.8463x9208,2026-06-03,Antigua and Barbuda,Basic,3757.67,Active
CUST-1795,Richard Stuart,ballelizabeth@example.com,498.776.8299x6872,2024-04-20,Congo,basc,964.67,Active
CUST-1868,Alex Miller,wibarra@example.com,789.482.6041x809,2026-06-05,Slovenia,Basic,2701.4,Active
CUST-1472,Jacqueline Fleming,rbaker@example.org,+1-303-580-2146x296,2023-08-31,Kyrgyz Republic,Enterprise,$1103.06,Pending
CUST-1551,Matthew Ruiz,russell36@example.net,374-988-3607x658,2022-11-04,Anguilla,Pro,1585.65,Pending
CUST-1249,Erik Jacobs,ndaniels@example.net,(498)432-4826,2023-04-24,Moldova,Enterprise,4406.53,Pending
CUST-1446,Bradley Patterson,jessicalopez@example.com,001-514-336-3718x92392,2022-05-20,Argentina,Basic,351.09,Inactive
CUST-1137,Andrea Oneal,hatfieldsarah@example.org,(596)258-2710x9104,2026-05-03,Yemen,Pro,838.03,Pending
CUST-1320,Jennifer Mills,wilsonralph@example.net,001-812-315-3539,2022-11-20,Jamaica,Pro,318.31,Pending
CUST-1120,James Hunter,ystephens@example.com,001-789-811-3529x096,2022-04-02,Bolivia,Basic,506.88,Inactive
CUST-1468,Emily Myers,terri15@example.com,001-481-982-0967x9042,2022-02-11,Niue,PRO_tier,1800.31,Pending
CUST-1036,Michele Gibson,sandrafrench@example.net,001-336-218-3242,2022-07-21,Gambia,Pro,4494.22,Inactive
CUST-1433,   marissa miller  #,melissa01@example.org,445.982.6034x08487,2025-03-13,Mali,Pro,3883.12,Pending
CUST-1577,Edward Johnson,howardbenjamin@example.net,(532)918-1227x6457,2021-12-04,Greece,Basic,4371.36,Active
CUST-1584,Thomas Thompson,,(516)496-6630,2024-10-08,Macao,Pro,4428.92,Active
CUST-1514,Justin Smith,austin97@example.org,(827)374-0258x835,2022-08-05,Canada,Enterprise,439.3,Inactive
CUST-1010,Jessica Callahan,williamsyvette@example.org,432-867-7360,2021-09-24,Iceland,Pro,819.62,Inactive
CUST-1840,Ashley Thomas,bethany36@example.com,+1-882-508-9348,2024-10-16,Turkmenistan,Basic,1414.47,Pending
CUST-1959,Audrey Hull,gomezbrittney@example.net,+1-838-845-7202,2023-07-26,Zimbabwe,Pro,3906.89,Pending
CUST-1639,Kim Long,justintaylor@example.org,866-666-1707x1587,2024-03-18,Solomon Islands,Pro,2589.78,Pending
CUST-1722,Jennifer Lewis,satkinson@example.org,+1-225-429-5961x111,2024-06-04,Lithuania,Basic,1999.82,Inactive
CUST-1138,Katie Fuller,zhenderson@example.org,+1-788-892-4141x8328,2024-08-27,Serbia,Basic,1943.58,Active
CUST-1743,Kenneth Adams,mannjonathan@example.net,401.269.3429x2913,2022-11-16,Egypt,Basic,994.38,Inactive
CUST-1917,James Whitaker,plin@example.org,+1-518-604-6741x3075,2025-08-01,Palau,Enterprise,1253.88,Pending
CUST-1640,Patricia Hale,lopezchristopher@example.net,001-298-825-0800x4635,2025-06-01,Malta,Enterprise,841.93,Active
CUST-1193,Martin Sellers,susanfleming@example.com,(216)648-4085x8877,2026-03-20,Congo,Basic,1394.99,Inactive
CUST-1292,Devin Cole,sharonbishop@example.org,+1-327-391-4560x833,2024-10-25,Tokelau,Pro,3549.43,Pending
CUST-1841,William Foster,vickimullins@example.com,+1-591-760-9114x131,2025-01-10,Netherlands Antilles,Basic,209.48,Pending
CUST-1850,Mark Townsend,jackie01@example.com,+1-459-695-3006x2212,2022-08-17,Serbia,Enterprise,1628.57,Pending
CUST-1429,   meghan hinton  #,nicholasmcgrath@example.net,(701)857-2018,2026-07-28,Niue,Basic,3944.63,Active
CUST-1744,Monique Sutton,tammyhill@example.org,001-903-410-6153,2022-06-16,Oman,Pro,2122.96,Inactive
CUST-1702,Katherine Rodriguez,hhughes@example.org,(615)400-1418,2025-08-23,Uzbekistan,Basic,1486.55,Inactive
CUST-1294,Casey Floyd,erobertson@example.org,001-579-895-6353x1531,2026-01-27,Honduras,Pro,3949.75,Pending
CUST-1934,David Hayes,sgordon@example.net,+1-368-900-8529x46902,2023-11-30,France,basc,2841.59,Pending
CUST-1149,Matthew Lamb,steinmaria@example.com,207-802-9667,2025-02-20,China,Pro,$3050.73,Pending
CUST-1693,JOSEPH BENSON!!!,barnesarthur@example.com,+1-561-411-4576,2022-04-30,Central African Republic,Pro,1522.3,Active
CUST-1004,Maria Thomas,johnhoffman@example.com,001-496-496-5328x7101,2025-09-07,Jamaica,Basic,197.5,Active
CUST-1815,Kimberly Thompson,bakerangela@example.net,+1-878-288-9753x58523,2025-09-19,Uzbekistan,Enterprise,1050.68,Pending
CUST-1676,Michael Terry MD,gonzalezbarry@example.org,001-870-551-9582,2022-06-26,Albania,Basic,2614.61,Inactive
CUST-1144,Tiffany Smith,usweeney@example.com,338-236-7024,2026-05-01,Ukraine,Pro,3413.61,Pending
CUST-1251,Michael Woods,xjoseph@example.org,(577)522-3306x0463,2022-01-19,Vanuatu,Basic,1244.71,Inactive
CUST-1383,Jamie Wu,pattonbryan@example.com,6498611080,2023-09-24,Niger,Pro,1408.68,Pending
CUST-1230,Sandra Martinez,paulproctor@example.org,001-303-671-8376x4520,2024-02-17,French Southern Territories,Basic,554.41,Inactive
CUST-1378,Douglas Morse,james94@example.net,237.550.4793,2026-08-24,Northern Mariana Islands,Enterprise,1287.99,Inactive
CUST-1974,VERONICA SIMMONS!!!,,+1-615-827-8730,2022-08-23,Poland,Basic,2421.1,Active
CUST-1969,Mr. James Weaver DDS,nathan39@example.com,521-338-3507x12455,2022-07-21,Switzerland,Basic,1558.06,Inactive
CUST-1204,Mitchell Wilson,robertrivera@example.org,477.439.2603x0299,2024-11-14,Armenia,Entrp,4494.17,Inactive
CUST-1526,Joshua Garcia,rachel97@example.com,732-483-4831,2021-11-25,Dominica,Pro,4328.02,Pending
CUST-1956,Darren Anthony,nicolemason@example.com,+1-333-576-1851x86267,2023-11-23,Gambia,Basic,1801.88,Active
CUST-1767,Sydney Johnson,jessicarichardson@example.net,001-688-224-5279x050,2026-09-09,French Guiana,Pro,4668.47,Pending
CUST-1500,Jennifer Long,jessicasuarez@example.com,932.635.4940x1289,2025-12-26,Portugal,Pro,1674.21,Active
CUST-1054,Jason Wilson,alvarezkimberly@example.net,001-917-283-9084,2022-01-10,Lesotho,Basic,603.75,Inactive
CUST-1118,Ryan James,scott69@example.org,759-837-5265x4793,2023-02-15,Solomon Islands,Pro,1057.81,Pending
CUST-1362,Melody Griffin,paigeweber@example.net,+1-675-563-4108x5628,2022-03-09,Micronesia,Basic,3746.49,Inactive
CUST-1301,Tina Clark,lukehurst@example.net,+1-664-901-5577x88178,2024-10-29,South Georgia and the South Sandwich Islands,Enterprise,1555.25,Inactive
CUST-1699,GRANT BLACK DDS!!!,crystal44@example.net,635.853.9354x35864,2025-01-26,Comoros,Enterprise,2830.17,Inactive
CUST-1276,LARRY LANE!!!,jenniferadams@example.net,001-950-309-7519,2022-06-07,Saint Martin,Basic,4119.47,Inactive
