Customer_ID,Full_Name,Contact_Email,Phone_Number,Signup_Date,Country,Subscription_Tier,Total_Spend_USD,Account_Status
CUST-1217,Katherine Smith,charlesnathan@example.com,89497284639208,2026-06-03,Antigua and Barbuda,Basic,3757.67,Active
CUST-1795,Richard Stuart,ballelizabeth@example.com,49877682996872,2024-04-20,Congo,Basic,964.67,Active
CUST-1868,Alex Miller,wibarra@example.com,7894826041809,2026-06-05,Slovenia,Basic,2701.4,Active
CUST-1472,Jacqueline Fleming,rbaker@example.org,13035802146296,2023-08-31,Kyrgyz Republic,Enterprise,1103.06,Pending
CUST-1551,Matthew Ruiz,russell36@example.net,3749883607658,2022-11-04,Anguilla,Pro,1585.65,Pending
CUST-1249,Erik Jacobs,ndaniels@example.net,4984324826,2023-04-24,Moldova,Enterprise,4406.53,Pending
CUST-1446,Bradley Patterson,jessicalopez@example.com,001514336371892392,2022-05-20,Argentina,Basic,351.09,Inactive
CUST-1137,Andrea Oneal,hatfieldsarah@example.org,59625827109104,2026-05-03,Yemen,Pro,838.03,Pending
CUST-1320,Jennifer Mills,wilsonralph@example.net,0018123153539,2022-11-20,Jamaica,Pro,318.31,Pending
CUST-1120,James Hunter,ystephens@example.com,0017898113529096,2022-04-02,Bolivia,Basic,506.88,Inactive
CUST-1468,Emily Myers,terri15@example.com,00148198209679042,2022-02-11,Niue,Pro,1800.31,Pending
CUST-1036,Michele Gibson,sandrafrench@example.net,0013362183242,2022-07-21,Gambia,Pro,4494.22,Inactive
CUST-1433,Marissa Miller,melissa01@example.org,445982603408487,2025-03-13,Mali,Pro,3883.12,Pending
CUST-1577,Edward Johnson,howardbenjamin@example.net,53291812276457,2021-12-04,Greece,Basic,4371.36,Active
CUST-1584,Thomas Thompson,No Email Provided,5164966630,2024-10-08,Macao,Pro,4428.92,Active
CUST-1514,Justin Smith,austin97@example.org,8273740258835,2022-08-05,Canada,Enterprise,439.3,Inactive
CUST-1010,Jessica Callahan,williamsyvette@example.org,4328677360,2021-09-24,Iceland,Pro,819.62,Inactive
CUST-1840,Ashley Thomas,bethany36@example.com,18825089348,2024-10-16,Turkmenistan,Basic,1414.47,Pending
CUST-1959,Audrey Hull,gomezbrittney@example.net,18388457202,2023-07-26,Zimbabwe,Pro,3906.89,Pending
CUST-1639,Kim Long,justintaylor@example.org,86666617071587,2024-03-18,Solomon Islands,Pro,2589.78,Pending
CUST-1722,Jennifer Lewis,satkinson@example.org,12254295961111,2024-06-04,Lithuania,Basic,1999.82,Inactive
CUST-1138,Katie Fuller,zhenderson@example.org,178889241418328,2024-08-27,Serbia,Basic,1943.58,Active
CUST-1743,Kenneth Adams,mannjonathan@example.net,40126934292913,2022-11-16,Egypt,Basic,994.38,Inactive
CUST-1917,James Whitaker,plin@example.org,151860467413075,2025-08-01,Palau,Enterprise,1253.88,Pending
CUST-1640,Patricia Hale,lopezchristopher@example.net,00129882508004635,2025-06-01,Malta,Enterprise,841.93,Active
CUST-1193,Martin Sellers,susanfleming@example.com,21664840858877,2026-03-20,Congo,Basic,1394.99,Inactive
CUST-1292,Devin Cole,sharonbishop@example.org,13273914560833,2024-10-25,Tokelau,Pro,3549.43,Pending
CUST-1841,William Foster,vickimullins@example.com,15917609114131,2025-01-10,Netherlands Antilles,Basic,209.48,Pending
CUST-1850,Mark Townsend,jackie01@example.com,145969530062212,2022-08-17,Serbia,Enterprise,1628.57,Pending
CUST-1429,Meghan Hinton,nicholasmcgrath@example.net,7018572018,2026-07-28,Niue,Basic,3944.63,Active
CUST-1744,Monique Sutton,tammyhill@example.org,0019034106153,2022-06-16,Oman,Pro,2122.96,Inactive
CUST-1702,Katherine Rodriguez,hhughes@example.org,6154001418,2025-08-23,Uzbekistan,Basic,1486.55,Inactive
CUST-1294,Casey Floyd,erobertson@example.org,00157989563531531,2026-01-27,Honduras,Pro,3949.75,Pending
CUST-1934,David Hayes,sgordon@example.net,1368900852946902,2023-11-30,France,Basic,2841.59,Pending
CUST-1149,Matthew Lamb,steinmaria@example.com,2078029667,2025-02-20,China,Pro,3050.73,Pending
CUST-1693,Joseph Benson,barnesarthur@example.com,15614114576,2022-04-30,Central African Republic,Pro,1522.3,Active
CUST-1004,Maria Thomas,johnhoffman@example.com,00149649653287101,2025-09-07,Jamaica,Basic,197.5,Active
CUST-1815,Kimberly Thompson,bakerangela@example.net,1878288975358523,2025-09-19,Uzbekistan,Enterprise,1050.68,Pending
CUST-1676,Michael Terry Md,gonzalezbarry@example.org,0018705519582,2022-06-26,Albania,Basic,2614.61,Inactive
CUST-1144,Tiffany Smith,usweeney@example.com,3382367024,2026-05-01,Ukraine,Pro,3413.61,Pending
CUST-1251,Michael Woods,xjoseph@example.org,57752233060463,2022-01-19,Vanuatu,Basic,1244.71,Inactive
CUST-1383,Jamie Wu,pattonbryan@example.com,6498611080,2023-09-24,Niger,Pro,1408.68,Pending
CUST-1230,Sandra Martinez,paulproctor@example.org,00130367183764520,2024-02-17,French Southern Territories,Basic,554.41,Inactive
CUST-1378,Douglas Morse,james94@example.net,2375504793,2026-08-24,Northern Mariana Islands,Enterprise,1287.99,Inactive
CUST-1974,Veronica Simmons,No Email Provided,16158278730,2022-08-23,Poland,Basic,2421.1,Active
CUST-1969,Mr. James Weaver Dds,nathan39@example.com,521338350712455,2022-07-21,Switzerland,Basic,1558.06,Inactive
CUST-1204,Mitchell Wilson,robertrivera@example.org,47743926030299,2024-11-14,Armenia,Enterprise,4494.17,Inactive
CUST-1526,Joshua Garcia,rachel97@example.com,7324834831,2021-11-25,Dominica,Pro,4328.02,Pending
CUST-1956,Darren Anthony,nicolemason@example.com,1333576185186267,2023-11-23,Gambia,Basic,1801.88,Active
CUST-1767,Sydney Johnson,jessicarichardson@example.net,0016882245279050,2026-09-09,French Guiana,Pro,4668.47,Pending
CUST-1500,Jennifer Long,jessicasuarez@example.com,93263549401289,2025-12-26,Portugal,Pro,1674.21,Active
CUST-1054,Jason Wilson,alvarezkimberly@example.net,0019172839084,2022-01-10,Lesotho,Basic,603.75,Inactive
CUST-1118,Ryan James,scott69@example.org,75983752654793,2023-02-15,Solomon Islands,Pro,1057.81,Pending
CUST-1362,Melody Griffin,paigeweber@example.net,167556341085628,2022-03-09,Micronesia,Basic,3746.49,Inactive
CUST-1301,Tina Clark,lukehurst@example.net,1664901557788178,2024-10-29,South Georgia and the South Sandwich Islands,Enterprise,1555.25,Inactive
